sep=;
ID;Description;weight-gr;Type;Color;Size;Price;EU 1st item;EU additional;near-EU 1st item;near-EU additional;wwide 1st item;ww additional
4711;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Heather Grey / S);99.2;Apparel;Heather Grey;S;11.29;5;0.75;8;1;10;1.2
4712;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Heather Grey / M);110.6;Apparel;Heather Grey;M;11.29;5;0.75;8;1;10;1.2
4713;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Heather Grey / L);113.4;Apparel;Heather Grey;L;11.29;5;0.75;8;1;10;1.2
4714;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Heather Grey / XL);133.2;Apparel;Heather Grey;XL;11.29;5;0.75;8;1;10;1.2
4715;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Heather Grey / 2XL);155.9;Apparel;Heather Grey;2XL;12.6;5;0.75;8;1;10;1.2
4716;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Hot Pink / S);99.2;Apparel;Hot Pink;S;11.29;5;0.75;8;1;10;1.2
4717;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Hot Pink / M);110.6;Apparel;Hot Pink;M;11.29;5;0.75;8;1;10;1.2
4718;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Hot Pink / L);113.4;Apparel;Hot Pink;L;11.29;5;0.75;8;1;10;1.2
4719;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Hot Pink / XL);133.2;Apparel;Hot Pink;XL;11.29;5;0.75;8;1;10;1.2
4720;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Hot Pink / 2XL);155.9;Apparel;Hot Pink;2XL;12.6;5;0.75;8;1;10;1.2
4721;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Independence Red / S);99.2;Apparel;Independence Red;S;11.29;5;0.75;8;1;10;1.2
4722;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Independence Red / M);110.6;Apparel;Independence Red;M;11.29;5;0.75;8;1;10;1.2
4723;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Independence Red / L);113.4;Apparel;Independence Red;L;11.29;5;0.75;8;1;10;1.2
4724;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Independence Red / XL);133.2;Apparel;Independence Red;XL;11.29;5;0.75;8;1;10;1.2
4725;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Independence Red / 2XL);155.9;Apparel;Independence Red;2XL;12.6;5;0.75;8;1;10;1.2
4726;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Navy / S);99.2;Apparel;Navy;S;11.29;5;0.75;8;1;10;1.2
4727;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Navy / M);110.6;Apparel;Navy;M;11.29;5;0.75;8;1;10;1.2
4728;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Navy / L);113.4;Apparel;Navy;L;11.29;5;0.75;8;1;10;1.2
4729;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Navy / XL);133.2;Apparel;Navy;XL;11.29;5;0.75;8;1;10;1.2
4730;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Navy / 2XL);155.9;Apparel;Navy;2XL;12.6;5;0.75;8;1;10;1.2
4865;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / XS);127.6;Apparel;Black;XS;12.64;5;0.75;8;1;10;1.2
4866;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / S);133.2;Apparel;Black;S;12.64;5;0.75;8;1;10;1.2
4867;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / M);161.6;Apparel;Black;M;12.64;5;0.75;8;1;10;1.2
4868;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / L);170.1;Apparel;Black;L;12.64;5;0.75;8;1;10;1.2
4869;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / XL);187.1;Apparel;Black;XL;12.64;5;0.75;8;1;10;1.2
4870;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / 2XL);201.3;Apparel;Black;2XL;13.95;5;0.75;8;1;10;1.2
4871;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (Black / 3XL);212.6;Apparel;Black;3XL;15.26;5;0.75;8;1;10;1.2
4872;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / XS);127.6;Apparel;White;XS;12.64;5;0.75;8;1;10;1.2
4873;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / S);133.2;Apparel;White;S;12.64;5;0.75;8;1;10;1.2
4874;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / M);161.6;Apparel;White;M;12.64;5;0.75;8;1;10;1.2
4875;Next Level 3600 Premium Fitted Short Sleeve Crew with Tear Away Label (White / L);170.1;Apparel;White;L;12.64;5;0.75;8;1;10;1.2
