sep=;
ID;Description;weight-gr;Type;Color;Size;Price;shipping
6834;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / 2XL);219.71;Apparel;Army;2XL;13.95;8
6835;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / 3XL);226.8;Apparel;Army;3XL;15.26;8
6843;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / XS);113.4;Apparel;Baby Blue;XS;12.64;8
6844;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / S);127.57;Apparel;Baby Blue;S;12.64;8
6845;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / M);147.42;Apparel;Baby Blue;M;12.64;8
6846;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / L);184.27;Apparel;Baby Blue;L;12.64;8
6847;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / XL);198.45;Apparel;Baby Blue;XL;12.64;8
6848;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / 2XL);219.71;Apparel;Baby Blue;2XL;13.95;8
6849;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Baby Blue / 3XL);226.8;Apparel;Baby Blue;3XL;15.26;8
8039;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (White / S);82.21;Apparel;White;S;13.91;8
8040;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (White / M);87.88;Apparel;White;M;13.91;8
8041;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (White / L);93.55;Apparel;White;L;13.91;8
8042;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (White / XL);104.89;Apparel;White;XL;13.91;8
8043;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (Black / S);82.21;Apparel;Black;S;13.91;8
8044;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (Black / M);87.88;Apparel;Black;M;13.91;8
8045;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (Black / L);93.55;Apparel;Black;L;13.91;8
8046;Los Angeles Apparel 2332 Fine Jersey Short Sleeve Cropped T-Shirt /w Tear Away Label (Black / XL);104.89;Apparel;Black;XL;13.91;8
1463;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Black / 8yrs);85.05;Apparel;Black;8yrs;13.04;8
1464;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (White / 8yrs);85.05;Apparel;White;8yrs;12.16;8
1466;European Apparel 2201W Youth Fine Jersey Short Sleeve T-Shirt (Red / 8yrs);85.05;Apparel;Red;8yrs;13.04;8
